"filename", "language", "Python", "comment", "blank", "total"
"d:\Projects\Agentic-Salesman\apps\backend\__init__.py", "Python", 0, 0, 1, 1
"d:\Projects\Agentic-Salesman\apps\backend\main.py", "Python", 5, 0, 2, 7
"d:\Projects\Agentic-Salesman\apps\backend\src\__init__.py", "Python", 0, 0, 1, 1
"d:\Projects\Agentic-Salesman\apps\backend\src\agents\Prompts\__init__.py", "Python", 0, 0, 1, 1
"d:\Projects\Agentic-Salesman\apps\backend\src\agents\Prompts\prompt.py", "Python", 368, 36, 7, 411
"d:\Projects\Agentic-Salesman\apps\backend\src\agents\__init__.py", "Python", 0, 0, 1, 1
"d:\Projects\Agentic-Salesman\apps\backend\src\agents\main_agent.py", "Python", 16, 0, 10, 26
"d:\Projects\Agentic-Salesman\apps\backend\src\db\__init__.py", "Python", 0, 0, 1, 1
"d:\Projects\Agentic-Salesman\apps\backend\src\db\database_operations.py", "Python", 61, 2, 12, 75
"d:\Projects\Agentic-Salesman\apps\backend\src\graphs\__init__.py", "Python", 0, 0, 1, 1
"d:\Projects\Agentic-Salesman\apps\backend\src\graphs\main_agent_graph.py", "Python", 7, 0, 1, 8
"d:\Projects\Agentic-Salesman\apps\backend\src\graphs\main_agent_state.py", "Python", 0, 0, 1, 1
"d:\Projects\Agentic-Salesman\apps\backend\src\graphs\pre_processing_agent_state.py", "Python", 13, 0, 0, 13
"d:\Projects\Agentic-Salesman\apps\backend\src\graphs\pre_processing_graph.py", "Python", 66, 6, 13, 85
"d:\Projects\Agentic-Salesman\apps\backend\src\models\DM\dm.py", "Python", 11, 0, 1, 12
"d:\Projects\Agentic-Salesman\apps\backend\src\models\DM\input.py", "Python", 17, 0, 1, 18
"d:\Projects\Agentic-Salesman\apps\backend\src\models\__init__.py", "Python", 0, 0, 1, 1
"d:\Projects\Agentic-Salesman\apps\backend\src\models\audio_input.py", "Python", 6, 0, 2, 8
"d:\Projects\Agentic-Salesman\apps\backend\src\models\image_input.py", "Python", 6, 0, 1, 7
"d:\Projects\Agentic-Salesman\apps\backend\src\models\lead.py", "Python", 14, 0, 1, 15
"d:\Projects\Agentic-Salesman\apps\backend\src\models\request.py", "Python", 0, 0, 1, 1
"d:\Projects\Agentic-Salesman\apps\backend\src\pre_processing\__init__.py", "Python", 0, 0, 1, 1
"d:\Projects\Agentic-Salesman\apps\backend\src\pre_processing\input_processing.py", "Python", 93, 1, 20, 114
"d:\Projects\Agentic-Salesman\apps\backend\src\services\wait_and_reply.py", "Python", 16, 12, 5, 33
"d:\Projects\Agentic-Salesman\apps\backend\src\telegram_bot\__init__.py", "Python", 0, 0, 1, 1
"d:\Projects\Agentic-Salesman\apps\backend\src\telegram_bot\telegram_bot.py", "Python", 119, 14, 31, 164
"d:\Projects\Agentic-Salesman\apps\backend\src\tests\__init__.py", "Python", 0, 0, 1, 1
"d:\Projects\Agentic-Salesman\apps\backend\src\tests\agents_testing.py", "Python", 0, 0, 1, 1
"d:\Projects\Agentic-Salesman\apps\backend\src\tools\__init__.py", "Python", 0, 0, 1, 1
"d:\Projects\Agentic-Salesman\apps\backend\src\tools\watch_tool.py", "Python", 1, 0, 0, 1
"d:\Projects\Agentic-Salesman\apps\front\UI.py", "Python", 0, 1, 0, 1
"d:\Projects\Agentic-Salesman\apps\front\__init__.py", "Python", 0, 0, 1, 1
"Total", "-", 819, 72, 122, 1013
